,year,playername,team,age,g,gs,attempts,yards,tds,longgain,yardsperatt,yardspergame,fumbles,basesalarycap (10^8),Percenthit (%),caphit (M),cashspent (M)
1710,2007,Pierre Thomas,NOR,23,12,1,52,252,1,24,4.8,21.0,0,1.09,0.26299633027522934,0.286666,0.29
1314,2020,Raheem Mostert,SFO,28,4,4,51,303,1,80,5.9,75.8,0,1.982,1.6818027245206861,3.333333,3.125
1315,2019,Raheem Mostert,SFO,27,16,0,137,772,8,41,5.6,48.3,2,1.882,1.0538432518597236,1.983333,2.65
1316,2018,Raheem Mostert,SFO,26,9,0,34,261,1,52,7.7,29.0,1,1.772,0.3978555304740407,0.705,0.705
1317,2017,Raheem Mostert,SFO,25,11,0,6,30,0,16,5.0,2.7,1,1.67,0.3265233532934132,0.545294,0.545294
924,2016,Rashad Jennings,NYG,31,13,12,181,593,3,25,3.3,45.6,1,1.5527,1.8113608552843437,2.8125,2.25
925,2015,Rashad Jennings,NYG,30,16,16,195,863,3,38,4.4,53.9,2,1.4328,1.9629396984924625,2.8125,2.25
926,2014,Rashad Jennings,NYG,29,11,9,167,639,4,18,3.8,58.1,1,1.33,0.9868421052631579,1.3125,3.0
927,2013,Rashad Jennings,OAK,28,15,8,163,733,6,80,4.5,48.9,0,1.23,0.5121951219512195,0.63,0.63
928,2012,Rashad Jennings,JAX,27,10,6,101,283,2,21,2.8,28.3,3,1.206,0.47646268656716423,0.574614,0.565
930,2009,Rashad Jennings,JAX,24,15,0,39,202,1,28,5.2,13.5,0,1.23,0.2598471544715447,0.319612,0.34845
1232,2013,Rashard Mendenhall,ARI,26,15,15,217,687,8,28,3.2,45.8,4,1.23,2.0325203252032518,2.5,2.5
1233,2012,Rashard Mendenhall,PIT,25,6,4,51,182,0,20,3.6,30.3,3,1.206,2.8493565505804312,3.436324,2.333824
1234,2011,Rashard Mendenhall,PIT,24,15,15,228,928,9,68,4.1,61.9,1,1.2,1.56875,1.8825,0.78
1236,2009,Rashard Mendenhall,PIT,22,16,12,242,1108,7,60,4.6,69.3,3,1.23,2.4491869918699187,3.0125,6.32
1237,2008,Rashard Mendenhall,PIT,21,4,1,19,58,0,12,3.1,14.5,0,1.16,1.0258620689655171,1.19,1.19
1472,2013,Ray Rice,BAL,26,15,15,214,660,4,47,3.1,44.0,2,1.23,4.674796747967481,5.75,8.0
1473,2012,Ray Rice,BAL,25,16,16,257,1143,9,46,4.4,71.4,1,1.206,4.1459369817578775,5.0,17.0
1474,2011,Ray Rice,BAL,24,16,16,291,1364,12,70,4.7,85.3,2,1.2,0.7312500000000001,0.8775,0.6
1476,2009,Ray Rice,BAL,22,16,15,254,1339,7,59,5.3,83.7,3,1.23,0.5386178861788617,0.6625,0.385
1477,2008,Ray Rice,BAL,21,13,4,107,454,0,60,4.2,34.9,1,1.16,0.7900862068965517,0.9165,1.405
304,2016,Reggie Bush,BUF,31,13,0,12,-3,1,5,-0.3,-0.2,1,1.5527,0.9660591228183165,1.5,1.5
305,2015,Reggie Bush,SFO,30,5,1,8,28,0,9,3.5,5.6,0,1.4328,1.6794039642657732,2.40625,2.29375
306,2014,Reggie Bush,DET,29,11,9,76,297,2,26,3.9,27.0,1,1.33,2.213621804511278,2.944117,3.5
307,2013,Reggie Bush,DET,28,14,14,223,1006,4,39,4.5,71.9,5,1.23,1.6260162601626018,2.0,5.0
308,2012,Reggie Bush,MIA,27,16,16,227,986,6,65,4.3,61.6,4,1.206,4.975124378109453,6.0,4.75
309,2011,Reggie Bush,MIA,26,15,15,216,1086,6,76,5.0,72.4,4,1.2,3.125,3.75,5.0
311,2009,Reggie Bush,NOR,24,14,8,70,390,5,55,5.6,27.9,4,1.23,8.605691056910569,10.585,7.085
312,2008,Reggie Bush,NOR,23,10,9,106,404,2,43,3.8,40.4,3,1.16,4.3534482758620685,5.05,5.55
313,2007,Reggie Bush,NOR,22,12,10,157,581,4,22,3.7,48.4,8,1.09,3.3715596330275233,3.675,13.375
314,2006,Reggie Bush,NOR,21,16,8,155,565,6,18,3.6,35.3,2,1.02,2.6470588235294117,2.7,6.5
1012,2020,Ronald Jones II,TAM,23,7,7,110,506,4,37,4.6,72.3,0,1.982,0.973111503531786,1.928707,1.122902
1013,2019,Ronald Jones II,TAM,22,16,9,172,724,6,49,4.2,45.3,3,1.882,0.8540148777895856,1.607256,0.801451
1014,2018,Ronald Jones II,TAM,21,9,0,23,44,1,9,1.9,4.9,0,1.772,0.7256235891647854,1.285805,3.70322
275,2014,Ronnie Brown,2TM,33,10,0,20,63,0,11,3.2,6.3,0,1.33,0.3025210526315789,0.402353,0.603529
276,2013,Ronnie Brown,SDG,32,16,0,45,157,1,13,3.5,9.8,0,1.23,0.853658536585366,1.05,1.05
277,2012,Ronnie Brown,SDG,31,14,1,46,220,0,21,4.8,15.7,0,1.206,0.8291873963515755,1.0,1.0
804,2016,Ronnie Hillman,2TM,25,8,1,41,131,0,17,3.2,16.4,0,1.5527,0.1727539125394474,0.268235,0.268235
805,2015,Ronnie Hillman,DEN,24,16,10,207,863,7,72,4.2,53.9,3,1.4328,0.6579480737018426,0.942708,0.77
806,2014,Ronnie Hillman,DEN,23,8,4,106,434,3,37,4.1,54.3,1,1.33,0.6072992481203008,0.807708,0.635
807,2013,Ronnie Hillman,DEN,22,10,0,55,218,1,19,4.0,21.8,2,1.23,0.5591121951219512,0.687708,0.515
808,2012,Ronnie Hillman,DEN,21,14,0,85,330,1,31,3.9,23.6,2,1.206,0.46659038142620224,0.562708,1.080832
753,2015,Roy Helu,OAK,27,9,0,17,39,0,12,2.3,4.3,0,1.4328,1.4656616415410388,2.1,2.1
754,2014,Roy Helu,WAS,26,14,0,40,216,1,18,5.4,15.4,2,1.33,1.164333082706767,1.548563,1.431
755,2013,Roy Helu,WAS,25,16,0,62,274,4,24,4.4,17.1,2,1.23,0.5467991869918699,0.672563,0.555
756,2011,Roy Helu,WAS,23,15,5,151,640,2,28,4.2,42.7,2,1.2,0.41046916666666666,0.492563,0.845252
588,2020,Royce Freeman,DEN,24,6,0,20,68,0,13,3.4,11.3,0,1.982,0.545537336024218,1.081255,0.832
589,2019,Royce Freeman,DEN,23,16,0,132,496,3,26,3.8,31.0,0,1.882,0.483663655685441,0.910255,0.661
590,2018,Royce Freeman,DEN,22,14,8,130,521,5,24,4.0,37.2,1,1.772,0.411543453724605,0.729255,1.47702
681,2012,Ryan Grant,2TM,30,5,1,32,132,2,18,4.1,26.4,1,1.206,0.14632669983416252,0.17647,0.17647
682,2011,Ryan Grant,GNB,29,15,14,134,559,2,47,4.2,37.3,2,1.2,3.75,4.5,4.5
684,2009,Ryan Grant,GNB,27,16,16,282,1253,11,62,4.4,78.3,1,1.23,3.455284552845528,4.25,4.25
685,2008,Ryan Grant,GNB,26,16,14,312,1203,4,57,3.9,75.2,4,1.16,3.6767241379310347,4.265,4.265
686,2007,Ryan Grant,GNB,25,15,7,188,956,8,66,5.1,63.7,1,1.09,0.28440366972477066,0.31,0.31
1163,2016,Ryan Mathews,PHI,29,13,8,155,661,8,30,4.3,50.8,3,1.5527,2.5761576608488443,4.0,3.0
1164,2015,Ryan Mathews,PHI,28,13,6,106,539,6,63,5.1,41.5,3,1.4328,1.3958682300390843,2.0,4.0
1165,2014,Ryan Mathews,SDG,27,6,6,74,330,3,32,4.5,55.0,1,1.33,2.715789473684211,3.612,1.97825
1166,2013,Ryan Mathews,SDG,26,16,14,285,1255,6,51,4.4,78.4,2,1.23,2.30020325203252,2.82925,1.1955
1167,2012,Ryan Mathews,SDG,25,12,9,184,707,1,31,3.8,58.9,2,1.206,1.9456882255389718,2.3465,0.71275
1168,2011,Ryan Mathews,SDG,24,14,14,222,1091,6,39,4.9,77.9,5,1.2,1.7364583333333332,2.08375,11.3025
1369,2020,Samaje Perine,CIN,25,7,0,2,3,0,3,1.5,0.4,0,1.982,0.4162462159434914,0.825,0.825
1370,2019,Samaje Perine,2TM,24,7,0,5,16,0,9,3.2,2.3,0,1.882,0.020159936238044632,0.037941,0.037941
1371,2018,Samaje Perine,WAS,23,5,0,8,32,0,11,4.0,6.4,0,1.772,0.40629063205417615,0.719947,0.555
1372,2017,Samaje Perine,WAS,22,16,8,175,603,1,30,3.4,37.7,2,1.67,0.37721377245508975,0.629947,1.124788
112,2020,Saquon Barkley,NYG,23,2,2,19,34,0,18,1.8,17.0,0,1.982,4.337870332996973,8.597659,3.405886
113,2019,Saquon Barkley,NYG,22,13,13,217,1003,6,68,4.6,77.2,1,1.882,3.7671179596174285,7.089716,1.897943
114,2018,Saquon Barkley,NYG,21,16,16,261,1307,11,78,5.0,81.7,0,1.772,3.2007748306997734,5.671773,21.247092
1756,2017,Shane Vereen,NYG,28,16,0,45,164,0,17,3.6,10.3,0,1.67,2.644711377245509,4.416668,3.45
1757,2016,Shane Vereen,NYG,27,5,1,33,158,1,25,4.8,31.6,2,1.5527,3.1665266954337605,4.916666,3.75
1758,2015,Shane Vereen,NYG,26,16,0,61,260,0,39,4.3,16.3,1,1.4328,1.756467057509771,2.516666,4.85
1759,2014,Shane Vereen,NWE,25,16,6,96,391,2,19,4.1,24.4,0,1.33,0.8280263157894737,1.101275,0.846975
1760,2013,Shane Vereen,NWE,24,8,1,44,208,1,21,4.7,26.0,1,1.23,0.7674390243902439,0.94395,0.68965
1761,2012,Shane Vereen,NWE,23,13,1,62,251,3,16,4.0,19.3,1,1.206,0.6522595356550581,0.786625,0.532325
1762,2011,Shane Vereen,NWE,22,5,0,15,57,1,19,3.8,11.4,0,1.2,0.5244166666666666,0.6293,1.3922
709,2014,Shonn Greene,TEN,29,13,5,94,392,2,52,4.2,30.2,1,1.33,2.4310774436090226,3.233333,2.4
710,2013,Shonn Greene,TEN,28,11,0,77,295,4,29,3.8,26.8,0,1.23,2.100270731707317,2.583333,4.25
711,2012,Shonn Greene,NYJ,27,16,14,276,1063,8,36,3.9,66.4,4,1.206,0.6975538971807628,0.84125,0.615
712,2011,Shonn Greene,NYJ,26,16,15,253,1054,6,31,4.2,65.9,1,1.2,0.6260416666666667,0.75125,0.525
714,2009,Shonn Greene,NYJ,24,14,0,108,540,2,33,5.0,38.6,3,1.23,0.4359756097560976,0.53625,1.215
1238,2020,Sony Michel,NWE,25,3,3,26,173,1,48,6.7,57.7,0,1.982,1.3246528758829463,2.625462,1.355154
1239,2019,Sony Michel,NWE,24,16,14,247,912,7,26,3.7,57.0,2,1.882,1.1625318809776832,2.187885,0.917577
1240,2018,Sony Michel,NWE,23,13,8,209,931,6,34,4.5,71.6,1,1.772,0.9877584650112866,1.750308,5.561232
1769,2019,Spencer Ware,KAN,28,3,1,17,51,0,6,3.0,17.0,1,1.882,0.10064399574920296,0.189412,0.189412
1770,2018,Spencer Ware,KAN,27,13,2,51,246,2,34,4.8,18.9,0,1.772,0.6254706546275395,1.108334,1.75
1771,2016,Spencer Ware,KAN,25,14,14,214,921,3,46,4.3,65.8,4,1.5527,0.6172042248985639,0.958333,1.625
1772,2015,Spencer Ware,KAN,24,11,2,72,403,6,52,5.6,36.6,0,1.4328,0.25125628140703515,0.36,0.36
743,2013,Stanley Havili,IND,26,13,8,7,7,0,4,1.0,0.5,0,1.23,0.3902439024390244,0.48,0.48
1487,2018,Stevan Ridley,PIT,29,10,0,29,80,1,12,2.8,8.0,2,1.772,0.35553047404063204,0.63,0.79
1488,2017,Stevan Ridley,PIT,28,2,1,26,108,1,21,4.2,54.0,0,1.67,0.043325149700598795,0.072353,0.091176
1489,2015,Stevan Ridley,NYJ,26,8,1,36,90,0,13,2.5,11.3,0,1.4328,0.7655464824120604,1.096875,1.016875
1490,2014,Stevan Ridley,NWE,25,6,5,94,340,2,43,3.6,56.7,0,1.33,0.706578947368421,0.93975,0.77775
1491,2013,Stevan Ridley,NWE,24,14,6,178,773,7,29,4.3,55.2,4,1.23,0.6548780487804878,0.8055,0.6435
1492,2012,Stevan Ridley,NWE,23,16,12,290,1263,12,41,4.4,78.9,4,1.206,0.556592039800995,0.67125,0.50925
1493,2011,Stevan Ridley,NWE,22,16,2,87,441,1,33,5.1,27.6,1,1.2,0.4475,0.537,1.023
890,2015,Steven Jackson,NWE,32,2,1,21,50,1,7,2.4,25.0,0,1.4328,0.04803461753210497,0.068824,0.114118
891,2014,Steven Jackson,ATL,31,15,15,190,707,6,55,3.7,47.1,0,1.33,3.132831578947368,4.166666,3.0
892,2013,Steven Jackson,ATL,30,12,12,157,543,6,50,3.5,45.3,0,1.23,2.3712731707317074,2.916666,5.25
893,2012,Steven Jackson,STL,29,16,16,258,1045,4,46,4.1,65.3,0,1.206,7.3790762852404645,8.899166,7.0
894,2011,Steven Jackson,STL,28,15,15,260,1145,5,47,4.4,76.3,2,1.2,7.582638333333333,9.099166,7.2
896,2009,Steven Jackson,STL,26,15,15,324,1416,4,58,4.4,94.4,2,1.23,6.0155821138211385,7.399166,5.5
897,2008,Steven Jackson,STL,25,12,11,253,1042,7,56,4.1,86.8,5,1.16,2.628591379310345,3.049166,12.0
898,2007,Steven Jackson,STL,24,12,12,237,1002,5,54,4.2,83.5,5,1.09,1.1123853211009176,1.2125,0.6675
899,2006,Steven Jackson,STL,23,16,16,346,1528,13,59,4.4,95.5,4,1.02,1.718137254901961,1.7525,0.5025
900,2005,Steven Jackson,STL,22,15,15,254,1046,8,51,4.1,69.7,3,0.855,1.8567251461988301,1.5875,2.2875
901,2004,Steven Jackson,STL,21,14,3,134,673,4,48,5.0,48.1,1,0.80582,1.3278399642600085,1.07,2.71
1901,2020,T.J. Yeldon,BUF,27,3,0,10,70,0,34,7.0,23.3,1,1.982,0.958627648839556,1.9,1.65
1902,2019,T.J. Yeldon,BUF,26,6,0,17,63,0,12,3.7,10.5,1,1.882,0.6907545164718385,1.3,1.55
1903,2018,T.J. Yeldon,JAX,25,14,5,104,414,1,20,4.0,29.6,1,1.772,1.061882618510158,1.881656,1.241424
1904,2017,T.J. Yeldon,JAX,24,10,0,49,253,2,58,5.2,25.3,2,1.67,0.965777245508982,1.612848,0.972616
1905,2016,T.J. Yeldon,JAX,23,15,13,130,465,1,16,3.6,31.0,2,1.5527,0.86561473562182,1.34404,0.703808
1906,2015,T.J. Yeldon,JAX,22,12,12,182,740,2,45,4.1,61.7,0,1.4328,0.7504410943606923,1.075232,2.995928
355,2020,Tarik Cohen,CHI,25,3,0,14,74,0,17,5.3,24.7,0,1.982,1.5344545913218968,3.041289,8.133
356,2019,Tarik Cohen,CHI,24,16,11,64,213,0,19,3.3,13.3,3,1.882,0.42682731137088215,0.803289,0.645
357,2018,Tarik Cohen,CHI,23,16,7,99,444,3,32,4.5,27.8,7,1.772,0.402533295711061,0.713289,0.555
358,2017,Tarik Cohen,CHI,22,16,4,87,370,2,46,4.3,23.1,3,1.67,0.3732269461077844,0.623289,1.098156
359,2020,Tevin Coleman,SFO,27,2,0,18,30,0,10,1.7,15.0,0,1.982,2.4564833501513625,4.86875,4.9
360,2019,Tevin Coleman,SFO,26,14,11,137,544,6,48,4.0,38.9,0,1.882,1.912858660998937,3.6,3.56875
361,2018,Tevin Coleman,ATL,25,16,14,167,800,4,65,4.8,50.0,2,1.772,0.5518843115124153,0.977939,0.791628
362,2017,Tevin Coleman,ATL,24,15,3,156,628,5,52,4.0,41.9,1,1.67,0.5187491017964072,0.866311,0.68
363,2016,Tevin Coleman,ATL,23,13,0,118,520,8,55,4.4,40.0,1,1.5527,0.485483995620532,0.753811,0.5675
364,2015,Tevin Coleman,ATL,22,12,3,87,392,1,46,4.5,32.7,3,1.4328,0.4336341429369068,0.621311,1.180244
1481,2018,Theo Riddick,DET,27,14,3,40,171,0,19,4.3,12.2,0,1.772,2.3349322799097063,4.1375,3.1625
1482,2017,Theo Riddick,DET,26,16,5,84,286,3,21,3.4,17.9,1,1.67,1.437125748502994,2.4,1.475
1483,2016,Theo Riddick,DET,25,10,8,92,357,1,42,3.9,35.7,0,1.5527,1.1497713660075994,1.78525,4.65
1484,2015,Theo Riddick,DET,24,16,1,43,133,0,16,3.1,8.3,1,1.4328,0.42416945840312675,0.60775,0.585
1485,2014,Theo Riddick,DET,23,14,2,20,51,0,9,2.6,3.6,0,1.33,0.3892857142857143,0.51775,0.495
1486,2013,Theo Riddick,DET,22,14,0,9,25,1,7,2.8,1.8,0,1.23,0.34776422764227644,0.42775,0.496
1443,2017,Thomas Rawls,SEA,24,12,3,58,157,0,23,2.7,13.1,1,1.67,0.37125748502994016,0.62,0.615
1444,2016,Thomas Rawls,SEA,23,9,7,109,349,3,45,3.2,38.8,0,1.5527,0.34134089006247176,0.53,0.525
1445,2015,Thomas Rawls,SEA,22,13,7,147,830,4,69,5.6,63.8,1,1.4328,0.29268076493579015,0.419353,0.429353
782,2016,Tim Hightower,NOR,30,16,1,133,548,4,30,4.1,34.3,0,1.5527,0.5409931087782572,0.84,0.84
783,2015,Tim Hightower,NOR,29,8,3,96,375,4,26,3.9,46.9,0,1.4328,0.21615438302624232,0.309706,0.394412
719,2020,Todd Gurley,ATL,26,7,7,122,485,7,35,4.0,69.3,2,1.982,2.7749747729566088,5.5,5.5
720,2019,Todd Gurley,LAR,25,15,15,223,857,12,25,3.8,57.1,3,1.882,4.888416578108396,9.2,5.0
721,2018,Todd Gurley,LAR,24,14,14,256,1251,17,36,4.9,89.4,1,1.772,4.0791794582392775,7.228306,21.95
722,2017,Todd Gurley,LAR,23,15,15,279,1305,13,57,4.7,87.0,5,1.67,2.257459880239521,3.769958,1.691652
723,2016,Todd Gurley,LAR,22,16,16,278,885,6,24,3.2,55.3,2,1.5527,2.0233348360919687,3.141632,1.063326
724,2015,Todd Gurley,STL,21,13,12,229,1106,10,71,4.8,85.1,3,1.4328,1.7541219988833054,2.513306,8.748224
1416,2020,Tony Pollard,DAL,23,7,1,31,109,1,13,3.5,15.6,0,1.982,0.42511705348133205,0.842582,0.675
1417,2019,Tony Pollard,DAL,22,15,0,86,455,2,44,5.3,30.3,1,1.882,0.35206269925611045,0.662582,1.165328
1161,2015,Tre Mason,STL,22,13,3,75,207,1,15,2.8,15.9,3,1.4328,0.48116275823562255,0.68941,0.530035
1162,2014,Tre Mason,STL,21,12,9,179,765,4,89,4.3,63.8,2,1.33,0.4356203007518797,0.579375,1.0575
1258,2018,Ty Montgomery,2TM,25,13,0,41,188,1,16,4.6,14.5,2,1.772,0.21406546275395036,0.379324,0.379324
1259,2017,Ty Montgomery,GNB,24,8,5,71,273,3,37,3.8,34.1,0,1.67,0.47223712574850296,0.788636,0.637
1260,2016,Ty Montgomery,GNB,23,15,6,77,457,3,61,5.9,30.5,2,1.5527,0.446567913956334,0.693386,0.54175
88,2013,Vick Ballard,IND,23,1,1,13,63,0,12,4.8,63.0,0,1.23,0.28418861788617894,0.349552,0.313412
89,2012,Vick Ballard,IND,22,16,12,211,814,2,26,3.9,50.9,3,1.206,0.3533499170812603,0.42614,0.53456
1073,2013,Vonta Leach,BAL,32,16,7,11,23,0,6,2.1,1.4,1,1.23,1.1951219512195121,1.47,2.0
601,2020,Wayne Gallman,NYG,26,6,1,25,110,1,26,4.4,18.3,0,1.982,0.46917860746720486,0.929912,0.825
602,2019,Wayne Gallman,NYG,25,10,2,29,110,2,22,3.8,11.0,1,1.882,0.3984654622741764,0.749912,0.645
603,2018,Wayne Gallman,NYG,24,15,1,51,176,1,9,3.5,11.7,2,1.772,0.37241083521444696,0.659912,0.555
604,2017,Wayne Gallman,NYG,23,13,1,111,476,0,24,4.3,36.6,3,1.67,0.34126467065868266,0.569912,0.884648
1544,2019,Wendell Smallwood,WAS,25,15,0,22,81,0,17,3.7,5.4,0,1.882,0.3825717321997874,0.72,0.72
1545,2018,Wendell Smallwood,PHI,24,16,6,87,364,3,15,4.2,22.8,2,1.772,0.3900366817155757,0.691145,0.63
1546,2017,Wendell Smallwood,PHI,23,8,3,47,174,1,26,3.7,21.8,0,1.67,0.35996706586826344,0.601145,0.54
1547,2016,Wendell Smallwood,PHI,22,13,3,77,312,1,19,4.1,24.0,1,1.5527,0.3291975268886456,0.511145,0.69458
1210,2013,Willis McGahee,CLE,32,12,6,138,377,2,16,2.7,31.4,1,1.23,0.39813495934959353,0.489706,0.829412
1611,2015,Zac Stacy,NYJ,24,8,0,31,89,1,18,2.9,11.1,0,1.4328,0.4082914572864322,0.585,0.585
1612,2014,Zac Stacy,STL,23,13,5,76,293,1,16,3.9,22.5,2,1.33,0.4053571428571429,0.539125,0.495
1613,2013,Zac Stacy,STL,22,14,12,250,973,7,40,3.9,69.5,1,1.23,0.3651422764227642,0.449125,0.5815
