,Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Year
4,Broncos,606,368,60.7,7.0,4216,19,23.0,76.3,201.0,33.2,41,11,75,39,246.0,2015
5,Browns,609,371,60.9,6.8,4156,20,12.0,84.0,192.0,31.5,48,12,61,53,374.0,2015
6,Buccaneers,535,312,58.3,7.6,4042,22,15.0,84.2,201.0,37.6,57,9,68,27,190.0,2015
7,Cardinals,562,353,62.8,8.5,4775,35,13.0,100.9,237.0,42.2,66,15,68,27,159.0,2015
8,Chargers,667,442,66.3,7.3,4855,30,13.0,94.5,230.0,34.5,53,8,80,40,264.0,2015
9,Chiefs,473,310,65.5,7.4,3493,20,7.0,95.4,155.0,32.8,42,10,80,46,238.0,2015
10,Colts,619,355,57.4,6.3,3928,26,19.0,77.5,195.0,31.5,46,7,87,37,224.0,2015
11,Cowboys,528,334,63.3,7.0,3677,16,22.0,76.6,175.0,33.1,40,4,67,33,206.0,2015
12,Dolphins,588,365,62.1,7.2,4231,24,12.0,88.9,194.0,33.0,57,13,54,45,420.0,2015
13,Eagles,623,405,65.0,7.0,4341,23,18.0,85.6,193.0,31.0,53,14,78,37,254.0,2015
14,Falcons,621,410,66.0,7.4,4602,21,17.0,87.8,230.0,37.0,49,9,70,32,223.0,2015
15,Giants,623,392,62.9,7.2,4500,36,14.0,94.5,208.0,33.4,53,16,87,27,157.0,2015
16,Jaguars,607,355,58.5,7.3,4428,35,18.0,88.1,215.0,35.4,72,11,90,51,320.0,2015
17,Jets,604,362,59.9,6.9,4170,33,16.0,88.0,210.0,34.8,56,9,69,22,113.0,2015
18,Lions,632,420,66.5,7.1,4463,33,14.0,95.1,236.0,37.3,52,8,57,44,251.0,2015
19,Packers,573,348,60.7,6.7,3825,31,8.0,92.7,173.0,30.2,55,6,65,47,322.0,2015
20,Panthers,501,300,59.9,7.7,3873,35,10.0,99.2,197.0,39.3,53,10,74,33,284.0,2015
21,Patriots,629,404,64.2,7.7,4812,36,7.0,101.9,229.0,36.4,59,12,76,38,225.0,2015
22,Raiders,605,373,61.7,6.8,4129,34,14.0,91.0,193.0,31.9,53,10,68,33,250.0,2015
23,Rams,473,273,57.7,6.2,2931,11,11.0,74.1,126.0,26.6,35,10,68,18,126.0,2015
24,Ravens,676,426,63.0,6.6,4449,21,21.0,79.4,211.0,31.2,54,8,50,24,178.0,2015
25,Redskins,555,386,69.5,7.7,4294,30,11.0,102.0,208.0,37.5,52,9,78,27,199.0,2015
26,Saints,667,460,69.0,7.8,5205,32,12.0,100.6,247.0,37.0,72,13,80,32,235.0,2015
27,Seahawks,489,333,68.1,8.3,4061,34,8.0,109.8,190.0,38.9,60,9,80,46,271.0,2015
28,Steelers,590,391,66.3,8.2,4822,26,21.0,91.2,207.0,35.1,61,21,88,33,219.0,2015
29,Texans,619,358,57.8,6.6,4079,29,12.0,85.3,210.0,33.9,46,8,61,36,246.0,2015
30,Titans,551,342,62.1,7.1,3893,25,17.0,85.5,195.0,35.4,49,6,61,54,390.0,2015
31,Vikings,454,294,64.8,7.1,3246,14,9.0,87.9,153.0,33.7,41,6,52,45,318.0,2015
0,49ers,491,287,58.5,6.4,3166,21,10.0,83.4,152.0,31.0,35,6,75,47,255.0,2016
1,Bears,559,347,62.1,7.4,4139,19,19.0,81.8,212.0,37.9,49,4,64,28,170.0,2016
2,Bengals,563,364,64.7,7.5,4206,18,8.0,91.8,204.0,36.2,53,13,86,41,264.0,2016
3,Bills,474,286,60.3,6.9,3250,17,7.0,86.7,155.0,32.7,35,8,84,46,214.0,2016
4,Broncos,570,339,59.5,6.9,3914,20,11.0,83.9,181.0,31.8,40,8,76,40,229.0,2016
5,Browns,567,338,59.6,6.5,3693,15,14.0,77.4,181.0,31.9,44,9,58,66,429.0,2016
6,Buccaneers,578,355,61.4,7.2,4165,29,18.0,87.0,220.0,38.1,43,4,45,35,239.0,2016
7,Cardinals,646,383,59.3,6.8,4425,28,17.0,83.5,229.0,35.4,51,6,80,41,289.0,2016
8,Chargers,580,349,60.2,7.6,4386,33,21.0,87.6,214.0,36.9,57,16,59,36,188.0,2016
9,Chiefs,546,365,66.8,7.2,3914,19,8.0,93.2,197.0,36.1,46,9,80,32,174.0,2016
10,Colts,584,370,63.4,7.7,4491,32,15.0,94.5,220.0,37.7,63,8,64,44,289.0,2016
11,Cowboys,483,325,67.3,7.9,3799,25,6.0,103.0,191.0,39.5,39,8,83,28,168.0,2016
12,Dolphins,477,316,66.2,7.8,3716,27,15.0,95.5,167.0,35.0,46,15,74,30,216.0,2016
13,Eagles,609,380,62.4,6.2,3798,16,14.0,79.2,192.0,31.5,39,6,73,33,213.0,2016
14,Falcons,537,374,69.6,9.2,4960,38,7.0,116.8,239.0,44.5,69,17,76,37,235.0,2016
15,Giants,598,377,63.0,6.7,4027,26,16.0,86.0,190.0,31.8,46,11,75,22,148.0,2016
16,Jaguars,626,369,58.9,6.3,3925,24,16.0,79.5,207.0,33.1,44,4,51,34,197.0,2016
17,Jets,550,311,56.5,6.6,3645,16,25.0,67.6,166.0,30.2,48,10,69,35,179.0,2016
18,Lions,594,388,65.3,7.3,4327,24,10.0,93.3,217.0,36.5,52,10,73,37,216.0,2016
19,Packers,620,403,65.0,7.2,4445,40,8.0,102.3,222.0,35.8,57,10,66,35,246.0,2016
20,Panthers,563,306,54.4,7.0,3962,21,19.0,75.1,194.0,34.5,49,9,88,36,277.0,2016
21,Patriots,550,368,66.9,8.1,4456,32,2.0,109.5,203.0,36.9,56,9,79,24,148.0,2016
22,Raiders,596,379,63.6,6.9,4137,29,7.0,95.3,198.0,33.2,51,8,75,18,86.0,2016
23,Rams,536,312,58.2,6.2,3313,14,20.0,69.5,151.0,28.2,43,9,66,49,362.0,2016
24,Ravens,679,439,64.7,6.4,4343,20,16.0,82.6,205.0,30.2,40,11,95,33,243.0,2016
25,Redskins,607,407,67.1,8.2,4948,25,12.0,97.4,226.0,37.2,70,13,80,23,190.0,2016
26,Saints,674,472,70.0,7.8,5258,38,15.0,102.5,265.0,39.3,71,11,98,27,184.0,2016
27,Seahawks,567,368,64.9,7.8,4422,23,12.0,93.4,203.0,35.8,54,12,59,42,298.0,2016
28,Steelers,596,381,63.9,7.3,4377,33,15.0,93.9,210.0,35.2,64,10,72,21,175.0,2016
29,Texans,583,347,59.5,5.9,3418,15,16.0,73.3,173.0,29.7,34,4,53,32,242.0,2016
30,Titans,504,307,60.9,7.4,3720,29,11.0,93.7,175.0,34.7,53,8,60,28,179.0,2016
31,Vikings,588,414,70.4,7.0,4119,20,5.0,97.7,209.0,35.5,52,8,71,38,283.0,2016
0,49ers,532,331,62.2,8.0,4247,26,20.0,87.8,201.0,37.8,61,12,85,48,380.0,2017
1,Bears,512,344,67.2,7.3,3747,28,14.0,95.4,177.0,34.6,46,11,70,33,183.0,2017
2,Bengals,542,331,61.1,6.6,3569,27,13.0,87.0,182.0,33.6,53,1,49,37,279.0,2017
3,Bills,499,271,54.3,6.2,3082,13,23.0,62.6,137.0,27.5,43,8,75,41,288.0,2017
4,Broncos,588,367,62.4,6.7,3930,19,15.0,82.1,181.0,30.8,53,11,64,34,235.0,2017
5,Browns,574,353,61.5,7.4,4261,29,17.0,88.8,189.0,32.9,60,11,71,38,254.0,2017
6,Buccaneers,625,408,65.3,8.6,5358,36,26.0,94.1,265.0,42.4,71,14,75,41,233.0,2017
7,Cardinals,495,283,57.2,5.8,2884,15,18.0,69.0,137.0,27.7,31,4,75,52,361.0,2017
8,Chargers,512,348,68.0,8.4,4316,32,12.0,104.9,213.0,41.6,60,10,75,34,227.0,2017
9,Chiefs,583,385,66.0,8.8,5126,50,12.0,113.8,239.0,41.0,76,15,89,26,171.0,2017
10,Colts,644,432,67.1,7.1,4595,39,15.0,98.2,237.0,36.8,53,7,68,18,134.0,2017
11,Cowboys,527,356,67.6,7.4,3885,22,8.0,96.7,184.0,34.9,39,9,90,56,347.0,2017
12,Dolphins,455,292,64.2,7.3,3309,26,13.0,93.0,153.0,33.6,34,9,75,52,409.0,2017
13,Eagles,599,422,70.5,7.6,4524,29,11.0,100.7,221.0,36.9,52,9,83,40,249.0,2017
14,Falcons,617,428,69.4,8.0,4949,36,7.0,108.0,238.0,38.6,56,9,75,42,296.0,2017
15,Giants,583,382,65.5,7.6,4405,23,12.0,92.7,208.0,35.7,59,12,58,47,358.0,2017
16,Jaguars,536,329,61.4,6.4,3431,15,13.0,79.1,164.0,30.6,41,3,80,53,322.0,2017
17,Jets,524,299,57.1,6.5,3404,18,19.0,73.0,157.0,30.0,44,5,76,37,239.0,2017
18,Lions,574,375,65.3,6.7,3844,22,12.0,88.5,201.0,35.0,44,6,67,41,268.0,2017
19,Packers,640,392,61.3,7.2,4629,25,4.0,93.7,208.0,32.5,57,16,75,53,391.0,2017
20,Panthers,563,378,67.1,7.2,4071,28,16.0,92.9,212.0,37.7,52,5,82,32,235.0,2017
21,Patriots,574,378,65.9,7.7,4405,29,11.0,97.8,206.0,35.9,54,8,63,21,147.0,2017
22,Raiders,556,382,68.7,7.3,4057,19,10.0,93.6,197.0,35.4,52,7,66,52,306.0,2017
23,Rams,568,368,64.8,8.3,4730,32,12.0,100.7,236.0,41.5,69,9,70,33,223.0,2017
24,Ravens,556,334,60.1,6.7,3708,18,9.0,84.0,184.0,33.1,43,6,74,32,150.0,2017
25,Redskins,509,311,61.1,6.5,3287,16,15.0,78.1,156.0,30.6,40,6,79,44,266.0,2017
26,Saints,519,381,73.4,8.0,4174,33,7.0,112.3,210.0,40.5,59,7,72,20,132.0,2017
27,Seahawks,427,280,65.6,8.1,3448,35,7.0,110.9,156.0,36.5,47,13,66,51,355.0,2017
28,Steelers,689,459,66.6,7.5,5174,35,17.0,95.5,251.0,36.4,62,16,97,24,166.0,2017
29,Texans,506,345,68.2,8.2,4165,26,9.0,102.9,202.0,39.9,51,8,73,62,384.0,2017
30,Titans,437,293,67.0,7.4,3255,16,12.0,89.8,156.0,35.7,37,6,66,47,280.0,2017
31,Vikings,606,425,70.1,7.1,4298,30,10.0,99.7,218.0,36.0,47,7,75,40,262.0,2017
0,49ers,532,331,62.2,8.0,4247,26,20.0,87.8,201.0,37.8,61,12,85,48,380.0,2018
1,Bears,512,344,67.2,7.3,3747,28,14.0,95.4,177.0,34.6,46,11,70,33,183.0,2018
2,Bengals,542,331,61.1,6.6,3569,27,13.0,87.0,182.0,33.6,53,1,49,37,279.0,2018
3,Bills,499,271,54.3,6.2,3082,13,23.0,62.6,137.0,27.5,43,8,75,41,288.0,2018
4,Broncos,588,367,62.4,6.7,3930,19,15.0,82.1,181.0,30.8,53,11,64,34,235.0,2018
5,Browns,574,353,61.5,7.4,4261,29,17.0,88.8,189.0,32.9,60,11,71,38,254.0,2018
6,Buccaneers,625,408,65.3,8.6,5358,36,26.0,94.1,265.0,42.4,71,14,75,41,233.0,2018
7,Cardinals,495,283,57.2,5.8,2884,15,18.0,69.0,137.0,27.7,31,4,75,52,361.0,2018
8,Chargers,512,348,68.0,8.4,4316,32,12.0,104.9,213.0,41.6,60,10,75,34,227.0,2018
9,Chiefs,583,385,66.0,8.8,5126,50,12.0,113.8,239.0,41.0,76,15,89,26,171.0,2018
10,Colts,644,432,67.1,7.1,4595,39,15.0,98.2,237.0,36.8,53,7,68,18,134.0,2018
11,Cowboys,527,356,67.6,7.4,3885,22,8.0,96.7,184.0,34.9,39,9,90,56,347.0,2018
12,Dolphins,455,292,64.2,7.3,3309,26,13.0,93.0,153.0,33.6,34,9,75,52,409.0,2018
13,Eagles,599,422,70.5,7.6,4524,29,11.0,100.7,221.0,36.9,52,9,83,40,249.0,2018
14,Falcons,617,428,69.4,8.0,4949,36,7.0,108.0,238.0,38.6,56,9,75,42,296.0,2018
15,Giants,583,382,65.5,7.6,4405,23,12.0,92.7,208.0,35.7,59,12,58,47,358.0,2018
16,Jaguars,536,329,61.4,6.4,3431,15,13.0,79.1,164.0,30.6,41,3,80,53,322.0,2018
17,Jets,524,299,57.1,6.5,3404,18,19.0,73.0,157.0,30.0,44,5,76,37,239.0,2018
18,Lions,574,375,65.3,6.7,3844,22,12.0,88.5,201.0,35.0,44,6,67,41,268.0,2018
19,Packers,640,392,61.3,7.2,4629,25,4.0,93.7,208.0,32.5,57,16,75,53,391.0,2018
20,Panthers,563,378,67.1,7.2,4071,28,16.0,92.9,212.0,37.7,52,5,82,32,235.0,2018
21,Patriots,574,378,65.9,7.7,4405,29,11.0,97.8,206.0,35.9,54,8,63,21,147.0,2018
22,Raiders,556,382,68.7,7.3,4057,19,10.0,93.6,197.0,35.4,52,7,66,52,306.0,2018
23,Rams,568,368,64.8,8.3,4730,32,12.0,100.7,236.0,41.5,69,9,70,33,223.0,2018
24,Ravens,556,334,60.1,6.7,3708,18,9.0,84.0,184.0,33.1,43,6,74,32,150.0,2018
25,Redskins,509,311,61.1,6.5,3287,16,15.0,78.1,156.0,30.6,40,6,79,44,266.0,2018
26,Saints,519,381,73.4,8.0,4174,33,7.0,112.3,210.0,40.5,59,7,72,20,132.0,2018
27,Seahawks,427,280,65.6,8.1,3448,35,7.0,110.9,156.0,36.5,47,13,66,51,355.0,2018
28,Steelers,689,459,66.6,7.5,5174,35,17.0,95.5,251.0,36.4,62,16,97,24,166.0,2018
29,Texans,506,345,68.2,8.2,4165,26,9.0,102.9,202.0,39.9,51,8,73,62,384.0,2018
30,Titans,437,293,67.0,7.4,3255,16,12.0,89.8,156.0,35.7,37,6,66,47,280.0,2018
31,Vikings,606,425,70.1,7.1,4298,30,10.0,99.7,218.0,36.0,47,7,75,40,262.0,2018
0,49ers,478,331,69.2,8.4,4029,28,13.0,103.1,195.0,40.8,62,8,75,36,237.0,2019
1,Bears,580,371,64.0,6.2,3573,20,12.0,83.9,178.0,30.7,39,2,53,45,282.0,2019
2,Bengals,616,356,57.8,6.5,3994,18,16.0,76.2,191.0,31.0,48,7,66,48,342.0,2019
3,Bills,513,299,58.3,6.8,3476,21,12.0,82.8,162.0,31.6,54,8,53,40,247.0,2019
4,Broncos,504,312,61.9,6.7,3401,16,10.0,84.1,162.0,32.1,46,10,75,41,286.0,2019
5,Browns539,318,59,7.1,3847.0,22,21,78.4,180.0,33.4,58.0,9,89,41,293,,2019
6,Buccaneers,630,382,60.6,8.1,5127,33,30.0,84.1,244.0,38.7,75,13,71,47,282.0,2019
7,Cardinals,554,355,64.1,6.9,3797,20,12.0,87.0,176.0,31.8,49,10,88,50,320.0,2019
8,Chargers,597,394,66.0,7.8,4648,24,20.0,89.0,220.0,36.9,57,12,84,34,222.0,2019
9,Chiefs,576,378,65.6,8.1,4690,30,5.0,104.4,211.0,36.6,59,18,83,25,192.0,2019
10,Colts,513,307,59.8,6.5,3314,22,10.0,85.0,165.0,32.2,38,3,50,32,206.0,2019
11,Cowboys,597,388,65.0,8.2,4902,30,11.0,99.5,229.0,38.4,68,16,62,23,151.0,2019
12,Dolphins,615,371,60.3,6.7,4117,22,18.0,80.0,210.0,34.1,49,7,51,58,313.0,2019
13,Eagles,613,391,63.8,6.6,4063,27,8.0,92.1,215.0,35.1,52,6,53,37,230.0,2019
14,Falcons,684,459,67.1,7.4,5049,29,15.0,93.8,258.0,37.7,52,5,93,50,335.0,2019
15,Giants,607,376,61.9,6.7,4070,30,17.0,86.4,187.0,30.8,54,11,75,43,339.0,2019
16,Jaguars,589,364,61.8,6.8,4023,24,8.0,90.0,183.0,31.1,53,6,70,42,263.0,2019
17,Jets,521,323,62.0,6.6,3443,19,16.0,80.6,162.0,31.1,44,6,92,52,332.0,2019
18,Lions,571,344,60.2,7.3,4187,28,15.0,88.2,196.0,34.3,60,13,75,43,287.0,2019
19,Packers,573,356,62.1,7.0,4017,26,4.0,95.3,190.0,33.2,52,12,74,36,284.0,2019
20,Panthers,633,382,60.3,6.5,4134,17,21.0,74.7,230.0,36.3,40,7,52,58,484.0,2019
21,Patriots,620,378,61.0,6.7,4153,25,9.0,88.2,197.0,31.8,62,6,59,28,192.0,2019
22,Raiders,523,367,70.2,7.9,4110,22,8.0,101.0,194.0,37.1,54,10,75,29,184.0,2019
23,Rams,632,397,62.8,7.4,4669,22,17.0,85.6,222.0,35.1,73,6,66,22,170.0,2019
24,Ravens,440,289,65.7,7.6,3350,37,8.0,109.0,171.0,38.9,44,8,83,28,125.0,2019
25,Redskins,479,298,62.2,6.7,3205,18,13.0,83.0,154.0,32.2,38,6,75,50,393.0,2019
26,Saints,581,418,71.9,7.6,4431,36,6.0,110.2,230.0,39.6,54,9,61,25,187.0,2019
27,Seahawks,517,341,66.0,7.9,4110,31,6.0,105.3,190.0,36.8,55,10,60,48,319.0,2019
28,Steelers,510,315,61.8,6.3,3214,18,19.0,76.1,147.0,28.8,37,8,79,32,233.0,2019
29,Texans,534,355,66.5,7.6,4083,27,14.0,95.3,203.0,38.0,51,10,54,49,300.0,2019
30,Titans,448,297,66.3,8.8,3956,29,8.0,108.3,177.0,39.5,58,15,91,56,374.0,2019
31,Vikings,466,319,68.5,8.0,3729,26,8.0,103.9,171.0,36.7,53,11,66,28,206.0,2019
0,49ers,570,371,65.1,7.6,4320,25,17.0,90.1,217.0,38.1,55,10,76,39,287.0,2020
1,Bears,614,402,65.5,6.4,3925,26,16.0,86.5,218.0,35.5,42,3,53,36,270.0,2020
2,Bengals,581,372,64.0,6.5,3793,19,11.0,85.7,201.0,34.6,35,5,72,48,345.0,2020
3,Bills,596,410,68.8,8.0,4786,40,11.0,107.6,240.0,40.3,66,10,56,27,166.0,2020
4,Broncos,556,317,57.0,6.6,3673,21,23.0,72.5,176.0,31.7,49,11,92,32,222.0,2020
5,Browns,501,315,62.9,7.4,3701,27,8.0,96.6,195.0,38.9,45,5,75,26,162.0,2020
6,Buccaneers,626,410,65.5,7.6,4776,42,12.0,102.8,238.0,38.0,67,12,50,22,150.0,2020
7,Cardinals,575,387,67.3,7.1,4102,27,13.0,94.1,211.0,36.7,45,14,80,29,186.0,2020
8,Chargers,627,413,65.9,7.3,4548,31,10.0,97.0,226.0,36.0,54,10,72,34,219.0,2020
9,Chiefs,630,420,66.7,7.9,5005,40,7.0,107.3,255.0,40.5,69,8,75,24,151.0,2020
10,Colts,552,371,67.2,7.6,4186,24,11.0,95.9,201.0,36.4,56,8,55,21,133.0,2020
11,Cowboys,639,413,64.6,7.1,4511,25,13.0,89.9,231.0,36.2,50,11,69,44,350.0,2020
12,Dolphins,559,370,66.2,7.0,3937,24,13.0,91.2,207.0,37.0,40,4,70,34,201.0,2020
13,Eagles,598,334,55.9,6.2,3728,22,20.0,72.9,177.0,29.6,43,9,81,65,401.0,2020
14,Falcons,628,408,65.0,7.4,4620,27,11.0,93.9,243.0,38.7,59,8,63,41,257.0,2020
15,Redskins,601,389,64.7,6.3,3796,16,16.0,80.1,184.0,30.6,40,6,68,50,331.0,2020
16,Giants,517,321,62.1,6.5,3336,12,11.0,79.6,178.0,34.4,36,5,53,50,310.0,2020
17,Jaguars,616,387,62.8,6.4,3955,25,16.0,83.9,205.0,33.3,45,5,73,44,256.0,2020
18,Jets,499,292,58.5,6.2,3115,16,14.0,75.9,146.0,29.3,39,6,69,43,319.0,2020
19,Lions,582,374,64.3,7.6,4397,27,13.0,93.3,220.0,37.8,58,8,73,42,293.0,2020
20,Packers,526,372,70.7,8.2,4299,48,5.0,121.5,216.0,41.1,57,14,78,21,193.0,2020
21,Panthers,550,373,67.8,7.5,4129,16,16.0,87.5,192.0,34.9,55,9,75,36,241.0,2020
22,Patriots,440,283,64.3,7.1,3124,12,14.0,81.1,157.0,35.7,38,3,50,37,234.0,2020
23,Raiders,551,369,67.0,8.0,4383,28,10.0,100.4,206.0,37.4,59,12,85,28,166.0,2020
24,Rams,590,392,66.4,7.1,4183,20,14.0,88.4,206.0,34.9,50,6,56,25,169.0,2020
25,Ravens,406,257,63.3,7.2,2919,27,11.0,95.7,142.0,35.0,38,5,70,32,180.0,2020
26,Saints,522,370,70.9,7.6,3945,28,8.0,104.1,199.0,38.1,44,9,52,29,187.0,2020
27,Seahawks,563,388,68.9,7.5,4245,40,13.0,105.0,216.0,38.4,45,11,62,48,304.0,2020
28,Steelers,656,428,65.2,6.3,4129,35,11.0,93.5,206.0,31.4,48,7,84,14,126.0,2020
29,Texans,546,383,70.1,8.9,4843,33,7.0,112.3,222.0,40.7,70,11,77,50,305.0,2020
30,Titans,485,316,65.2,7.9,3826,33,7.0,105.9,203.0,41.9,44,13,75,25,173.0,2020
31,Vikings,516,349,67.6,8.3,4265,35,13.0,105.0,212.0,41.1,58,7,71,39,256.0,2020
