,age,attempts,fumbles,g,gs,longgain,playerid,playername,pos,tds,team,yards,yardsperatt,yardspergame,year
3625,23.0,9.0,0.0,10.0,0.0,9.0,OOzigDe01,Devine Ozigbo,,0.0,JAX,27.0,3.0,2.7,2019.0
3627,28.0,5.0,1.0,6.0,4.0,12.0,PPalkTy00,Tyler Palko,,0.0,KAN,15.0,3.0,2.5,2011.0
3642,26.0,10.0,2.0,16.0,0.0,15.0,PPalmDa00,David Palmer,,0.0,MIN,52.0,5.2,3.3,1998.0
3645,24.0,18.0,0.0,8.0,0.0,24.0,PParkDe00,De'Mond Parker,,0.0,GNB,85.0,4.7,10.6,2000.0
3659,27.0,40.0,0.0,11.0,2.0,28.0,PParmJa00,Jalen Parmele,,0.0,JAX,143.0,3.6,13.0,2012.0
3661,29.0,6.0,1.0,3.0,0.0,6.0,PPassPa00,Patrick Pass,,0.0,NWE,21.0,3.5,7.0,2006.0
3674,25.0,33.0,0.0,13.0,0.0,15.0,PPaytJa00,Jarrett Payton,,2.0,TEN,105.0,3.2,8.1,2005.0
3675,27.0,8.0,0.0,3.0,0.0,4.0,PPeadIs00,Isaiah Pead,,0.0,MIA,22.0,2.8,7.3,2016.0
3678,24.0,19.0,2.0,13.0,0.0,12.0,PPearAl00,Alvin Pearman,,1.0,JAX,89.0,4.7,6.8,2006.0
3684,30.0,6.0,0.0,6.0,0.0,4.0,PPeerCe00,Cedric Peerman,,0.0,CIN,15.0,2.5,2.5,2016.0
3703,26.0,15.0,0.0,16.0,1.0,6.0,PPennEl00,Elijhaa Penny,,0.0,NYG,39.0,2.6,2.4,2019.0
3706,23.0,65.0,1.0,10.0,0.0,58.0,PPennRa00,Rashaad Penny,,3.0,SEA,370.0,5.7,37.0,2019.0
3708,22.0,33.0,0.0,6.0,0.0,20.0,PPeriLa00,La'Mical Perine ,,1.0,NYJ,122.0,3.7,20.3,2020.0
3713,25.0,12.0,0.0,4.0,0.0,13.0,PPerkPa00,Paul Perkins ,,0.0,DET,29.0,2.4,7.3,2019.0
3717,24.0,16.0,0.0,2.0,1.0,11.0,PPerrBr01,Bruce Perry ,,0.0,PHI,74.0,4.6,37.0,2005.0
3721,26.0,8.0,0.0,16.0,0.0,12.0,PPerrSe00,Senorise Perry ,,0.0,MIA,30.0,3.8,1.9,2017.0
3722,24.0,48.0,0.0,7.0,3.0,22.0,PPerrWi00,Wilmont Perry ,,0.0,NOR,180.0,3.8,25.7,1999.0
3746,24.0,10.0,0.0,4.0,2.0,24.0,PPeteNa00,Nathan Peterman ,,1.0,BUF,50.0,5.0,12.5,2018.0
3748,26.0,7.0,1.0,4.0,3.0,24.0,PPettBr01,Bryce Petty,,0.0,NYJ,55.0,7.9,13.8,2017.0
3750,26.0,14.0,1.0,8.0,0.0,7.0,PPhilBo20,Bobby Phillips,,0.0,MIN,26.0,1.9,3.3,1995.0
3751,26.0,12.0,0.0,9.0,0.0,8.0,PPhilDi00,Dino Philyaw,,1.0,CAR,38.0,3.2,4.2,1996.0
3755,25.0,13.0,3.0,5.0,2.0,12.0,PPickCo00,Cody Pickett,,0.0,SFO,42.0,3.2,8.4,2005.0
3760,26.0,4.0,0.0,3.0,0.0,15.0,PPinnAn00,Andrew Pinnock,,0.0,SDG,25.0,6.3,8.3,2006.0
3762,28.0,43.0,1.0,12.0,1.0,21.0,PPinnAr00,Artose Pinner,,3.0,MIN,190.0,4.4,15.8,2006.0
3793,26.0,99.0,0.0,15.0,2.0,20.0,PPolkCh00,Chris Polk,,1.0,HOU,334.0,3.4,22.3,2015.0
3801,24.0,17.0,0.0,5.0,1.0,24.0,PPopeP.20,P.J. Pope,,0.0,DEN,130.0,7.6,26.0,2008.0
3802,26.0,10.0,1.0,14.0,0.0,8.0,PPopeTr00,Troymaine Pope,,0.0,LAC,20.0,2.0,1.4,2019.0
3824,25.0,14.0,0.0,3.0,0.0,15.0,PPoweRi20,Ricky Powers,,0.0,CLE,51.0,3.6,17.0,1995.0
3825,24.0,60.0,2.0,13.0,1.0,17.0,PPoweWi00,William Powell,,0.0,ARI,217.0,3.6,16.7,2012.0
3842,25.0,23.0,1.0,9.0,0.0,17.0,PProsC.00,C.J. Prosise,,1.0,SEA,72.0,3.1,8.0,2019.0
3845,23.0,6.0,0.0,16.0,2.0,16.0,PProsJa00,Jay Prosch,,0.0,HOU,33.0,5.5,2.1,2015.0
3852,26.0,8.0,4.0,6.0,1.0,27.0,QQuinJo00,Jonathan Quinn,,0.0,JAX,42.0,5.3,7.0,2001.0
3854,24.0,5.0,0.0,3.0,0.0,-1.0,QQuinMi00,Mike Quinn,,0.0,DAL,-6.0,-1.2,-2.0,1998.0
3855,24.0,6.0,4.0,2.0,2.0,14.0,RRagoDa00,Dave Ragone,,0.0,HOU,51.0,8.5,25.5,2003.0
3859,24.0,26.0,4.0,16.0,0.0,19.0,RRainCh00,Chris Rainey,,2.0,PIT,102.0,3.9,6.4,2012.0
3872,24.0,8.0,1.0,9.0,0.0,12.0,RRankLo00,Louis Rankin,,0.0,2TM,36.0,4.5,4.0,2009.0
3882,21.0,31.0,0.0,6.0,1.0,9.0,RReavDa00,Darrin Reaves,,0.0,CAR,78.0,2.5,13.0,2014.0
3883,22.0,16.0,1.0,15.0,0.0,14.0,RReddSi00,Silas Redd,,1.0,WAS,75.0,4.7,5.0,2014.0
3904,26.0,4.0,0.0,13.0,1.0,15.0,RReedJo01,Josh Reed,,0.0,BUF,13.0,3.3,1.0,2006.0
3905,22.0,3.0,0.0,4.0,0.0,8.0,RReedJo03,Joe Reed,,1.0,LAC,22.0,7.3,5.5,2020.0
3908,28.0,16.0,1.0,16.0,0.0,11.0,RReynDa00,Darius Reynaud,,0.0,TEN,33.0,2.1,2.1,2012.0
3909,24.0,5.0,0.0,16.0,2.0,12.0,RReynJo00,Josh Reynolds,,0.0,LAR,23.0,4.6,1.4,2019.0
3935,23.0,69.0,0.0,8.0,3.0,14.0,RRichDa00,Daryl Richardson ,,0.0,STL,215.0,3.1,26.9,2013.0
3937,27.0,12.0,0.0,6.0,0.0,20.0,RRichJa01,Jalen Richard,,1.0,LVR,74.0,6.2,12.3,2020.0
3942,25.0,5.0,0.0,1.0,0.0,8.0,RRichTe21,Terry Richardson ,,0.0,PIT,17.0,3.4,17.0,1996.0
3976,24.0,59.0,1.0,12.0,0.0,25.0,RRingJa00,Javon Ringer,,1.0,TEN,185.0,3.1,15.4,2011.0
4004,28.0,14.0,1.0,7.0,0.0,11.0,RRobeJa00,Jamal Robertson ,,1.0,CAR,41.0,2.9,5.9,2005.0
4011,27.0,32.0,1.0,11.0,0.0,24.0,RRobiGr00,Greg Robinson,,1.0,STL,134.0,4.2,12.2,1996.0
4014,23.0,17.0,1.0,5.0,0.0,8.0,RRobiJo02,Josh Robinson,,0.0,IND,39.0,2.3,7.8,2015.0
4015,27.0,8.0,1.0,1.0,0.0,10.0,RRobiKh00,Khiry Robinson,,0.0,NYJ,22.0,2.8,22.0,2016.0
4078,25.0,12.0,2.0,6.0,0.0,32.0,RRossCo00,Cory Ross,,1.0,BAL,72.0,6.0,12.0,2007.0
4082,25.0,23.0,0.0,16.0,0.0,12.0,RRoysEv00,Evan Royster,,2.0,WAS,88.0,3.8,5.5,2012.0
4087,22.0,28.0,0.0,12.0,0.0,15.0,RRussGa00,Gary Russell,,3.0,PIT,77.0,2.8,6.4,2008.0
4108,23.0,18.0,0.0,8.0,0.0,10.0,SSainBr00,Brandon Saine,,0.0,GNB,69.0,3.8,8.6,2011.0
4118,24.0,3.0,0.0,6.0,0.0,5.0,SSamuJa00,Jaylen Samuels,,0.0,PIT,8.0,2.7,1.3,2020.0
4144,24.0,10.0,1.0,5.0,0.0,11.0,SSavaDa20,Dantrell Savage,,0.0,KAN,45.0,4.5,9.0,2009.0
4146,26.0,6.0,1.0,3.0,2.0,11.0,SSavaTo00,Tom Savage ,,0.0,HOU,12.0,2.0,4.0,2016.0
4165,23.0,5.0,0.0,15.0,1.0,14.0,SSchmOw00,Owen Schmitt,,0.0,SEA,21.0,4.2,1.4,2008.0
4166,25.0,27.0,1.0,12.0,0.0,10.0,SScobJo00,Josh Scobey,,0.0,ARI,89.0,3.3,7.4,2004.0
4167,28.0,8.0,0.0,2.0,0.0,29.0,SScotBe00,Bernard Scott,,0.0,CIN,35.0,4.4,17.5,2012.0
4174,25.0,20.0,0.0,5.0,1.0,16.0,SScotDa01,Da'Rel Scott,,0.0,NYG,73.0,3.7,14.6,2013.0
4180,23.0,7.0,1.0,1.0,1.0,7.0,SShawCo00,Connor Shaw,,0.0,CLE,9.0,1.3,9.0,2014.0
4181,26.0,9.0,0.0,16.0,0.0,5.0,SShawHa00,Harold Shaw,,0.0,NWE,12.0,1.3,0.8,2000.0
4183,26.0,7.0,1.0,4.0,0.0,10.0,SShawSe00,Sedrick Shaw,,1.0,2TM,22.0,3.1,5.5,1999.0
4189,23.0,8.0,0.0,9.0,0.0,9.0,SShelEr00,Eric Shelton,,0.0,CAR,23.0,2.9,2.6,2006.0
4196,29.0,14.0,0.0,16.0,3.0,9.0,SSherAn00,Anthony Sherman,,1.0,KAN,40.0,2.9,2.5,2017.0
4210,25.0,5.0,1.0,3.0,0.0,22.0,SSimmMa00,Matt Simms,,0.0,NYJ,37.0,7.4,12.3,2013.0
4211,24.0,9.0,1.0,12.0,0.0,13.0,SSimoJo00,John Simon,,1.0,TEN,18.0,2.0,1.5,2002.0
4212,24.0,15.0,0.0,14.0,0.0,31.0,SSimpCh00,Chad Simpson,,2.0,IND,102.0,6.8,7.3,2009.0
4214,27.0,21.0,1.0,16.0,0.0,21.0,SSimsCh00,Charles Sims,,0.0,TAM,95.0,4.5,5.9,2017.0
4218,22.0,9.0,1.0,16.0,2.0,65.0,SSimsSt00,Steven Sims,,1.0,WAS,85.0,9.4,5.3,2019.0
4233,26.0,20.0,2.0,16.0,0.0,6.0,SSmarRo00,Rod Smart,,0.0,CAR,49.0,2.5,3.1,2003.0
4250,27.0,7.0,0.0,6.0,0.0,12.0,SSmitAl22,Alfonso Smith,,0.0,SFO,19.0,2.7,3.2,2014.0
4262,31.0,10.0,2.0,3.0,0.0,8.0,SSmitAn01,Antone Smith,,0.0,TAM,47.0,4.7,15.7,2016.0
4272,28.0,14.0,0.0,15.0,2.0,3.0,SSmitCe00,Cedric Smith,,1.0,ARI,15.0,1.1,1.0,1996.0
4273,23.0,8.0,4.0,9.0,0.0,10.0,SSmitCl22,Clifton Smith,,0.0,TAM,40.0,5.0,4.4,2008.0
4287,25.0,12.0,0.0,7.0,0.0,9.0,SSmitIt00,Ito Smith,,0.0,ATL,41.0,3.4,5.9,2020.0
4310,25.0,75.0,1.0,16.0,1.0,24.0,SSmitMu00,Musa Smith,,2.0,BAL,264.0,3.5,16.5,2007.0
4316,24.0,18.0,0.0,11.0,0.0,16.0,SSmitPa00,Paul Smith,,0.0,SFO,90.0,5.0,8.2,2002.0
4331,26.0,44.0,0.0,16.0,1.0,14.0,SSmitRo06,Rod Smith,,1.0,DAL,127.0,2.9,7.9,2018.0
4350,22.0,44.0,2.0,6.0,0.0,30.0,SSnelBe00,Benny Snell Jr.,,2.0,PIT,167.0,3.8,27.8,2020.0
4352,30.0,44.0,0.0,14.0,1.0,17.0,SSnelJa00,Jason Snelling ,,1.0,ATL,164.0,3.7,11.7,2013.0
4359,28.0,5.0,0.0,1.0,0.0,12.0,SSorgJi00,Jim Sorgi,,0.0,IND,8.0,1.6,8.0,2008.0
4363,24.0,40.0,2.0,16.0,2.0,33.0,SSoweJe00,Jerald Sowell,,0.0,NYJ,164.0,4.1,10.3,1998.0
4365,27.0,63.0,3.0,12.0,1.0,14.0,SSpikIr00,Irving Spikes,,2.0,MIA,180.0,2.9,15.0,1997.0
4419,30.0,63.0,1.0,9.0,4.0,11.0,SStarJa00,James Starks,,0.0,GNB,145.0,2.3,16.1,2016.0
4442,23.0,24.0,2.0,11.0,2.0,9.0,SStepTr00,Tremayne Stephens,,3.0,SDG,61.0,2.5,5.5,1999.0
4444,24.0,7.0,0.0,15.0,2.0,11.0,SStewAr00,ArDarius Stewart,,0.0,NYJ,27.0,3.9,1.8,2017.0
4453,24.0,31.0,2.0,4.0,0.0,51.0,SStewJa20,James Stewart,,0.0,MIN,144.0,4.6,36.0,1995.0
4454,25.0,6.0,0.0,6.0,0.0,16.0,SStewJe00,Jeremy Stewart,,0.0,DEN,22.0,3.7,3.7,2014.0
4476,24.0,4.0,0.0,2.0,0.0,6.0,SStidJa00,Jarrett Stidham,,0.0,NWE,6.0,1.5,3.0,2020.0
4477,22.0,20.0,1.0,14.0,0.0,12.0,SStitSh00,Shyrone Stith,,1.0,JAX,55.0,2.8,3.9,2000.0
4478,24.0,9.0,1.0,4.0,2.0,13.0,SStoeCl00,Clint Stoerner,,1.0,DAL,27.0,3.0,6.8,2001.0
4495,24.0,13.0,0.0,9.0,0.0,32.0,SSuttTy00,Tyrell Sutton,,0.0,CAR,71.0,5.5,7.9,2010.0
4497,21.0,35.0,0.0,6.0,0.0,54.0,SSwifDA00,D'Andre Swift ,,4.0,DET,185.0,5.3,30.8,2020.0
4498,24.0,6.0,2.0,16.0,1.0,8.0,SSwitRy00,Ryan Switzer,,0.0,PIT,21.0,3.5,1.3,2018.0
4499,26.0,6.0,0.0,10.0,0.0,6.0,TTahiNa00,Naufahu Tahi,,0.0,MIN,15.0,2.5,1.5,2007.0
4500,24.0,13.0,0.0,3.0,0.0,7.0,TTaliLo00,Lorenzo Taliaferro,,1.0,BAL,47.0,3.6,15.7,2015.0
4502,25.0,9.0,1.0,16.0,0.0,9.0,TTannPh00,Phillip Tanner,,1.0,DAL,12.0,1.3,0.8,2013.0
4535,29.0,14.0,1.0,3.0,0.0,17.0,TTaylCh02,Chris Taylor,,0.0,HOU,37.0,2.6,12.3,2008.0
4550,22.0,16.0,0.0,3.0,0.0,11.0,TTaylJJ01,J.J. Taylor,,0.0,NWE,70.0,4.4,23.3,2020.0
4552,24.0,17.0,0.0,16.0,0.0,16.0,TTaylSt00,Stepfan Taylor,,0.0,ARI,58.0,3.4,3.6,2015.0
4555,22.0,8.0,0.0,16.0,4.0,17.0,TTaylTa00,Taywan Taylor,,0.0,TEN,43.0,5.4,2.7,2017.0
4582,27.0,6.0,3.0,16.0,0.0,9.0,TThigMa00,Marcus Thigpen,,0.0,MIA,18.0,3.0,1.1,2013.0
4592,28.0,22.0,0.0,7.0,0.0,13.0,TThomBl00,Blair Thomas,,0.0,CAR,90.0,4.1,12.9,1995.0
4593,30.0,6.0,0.0,6.0,0.0,5.0,TThomCh03,Chris Thompson,,0.0,JAX,17.0,2.8,2.8,2020.0
4599,22.0,16.0,2.0,11.0,0.0,9.0,TThomDa00,David Thompson,,1.0,STL,30.0,1.9,2.7,1997.0
4604,24.0,9.0,1.0,6.0,0.0,14.0,TThomDa06,Darwin Thompson,,0.0,KAN,49.0,5.4,8.2,2020.0
4607,22.0,9.0,2.0,10.0,1.0,13.0,TThomDe05,De'Anthony Thomas,,1.0,KAN,34.0,3.8,3.4,2015.0
4609,24.0,8.0,0.0,8.0,1.0,14.0,TThomJu01,Juwan Thompson,,1.0,DEN,26.0,3.3,3.3,2016.0
4612,27.0,14.0,0.0,5.0,0.0,10.0,TThomLe00,Leroy Thompson,,0.0,TAM,25.0,1.8,5.0,1996.0
4637,23.0,8.0,0.0,5.0,0.0,23.0,TThomRo05,Roc Thomas,,0.0,MIN,30.0,3.8,6.0,2018.0
4644,26.0,14.0,1.0,8.0,0.0,23.0,TThomTy00,Tyson Thompson,,0.0,DAL,54.0,3.9,6.8,2007.0
4651,29.0,29.0,0.0,13.0,1.0,9.0,TTillLe00,Lewis Tillman ,,0.0,CHI,78.0,2.7,6.0,1995.0
4652,25.0,14.0,1.0,14.0,3.0,15.0,TTindTi00,Tim Tindale,,0.0,BUF,49.0,3.5,3.5,1996.0
4654,24.0,10.0,0.0,6.0,0.0,9.0,TTiptZu01,Zurlon Tipton,,0.0,IND,18.0,1.8,3.0,2014.0
4655,26.0,9.0,0.0,16.0,0.0,19.0,TTodmJo00,Jordan Todman,,0.0,IND,59.0,6.6,3.7,2016.0
4658,27.0,13.0,0.0,2.0,1.0,7.0,TToefLa00,LaBrandon Toefield,,1.0,JAX,27.0,2.1,13.5,2007.0
4676,29.0,6.0,1.0,3.0,1.0,5.0,TTolzSc00,Scott Tolzien,,0.0,IND,3.0,0.5,1.0,2016.0
4697,25.0,17.0,0.0,5.0,1.0,14.0,TTostKe00,Keith Toston,,0.0,JAX,74.0,4.4,14.8,2012.0
4699,27.0,6.0,0.0,6.0,0.0,7.0,TTousFi00,Fitzgerald Toussaint,,0.0,PIT,25.0,4.2,4.2,2017.0
4708,27.0,4.0,1.0,2.0,0.0,11.0,TTuiaMa00,Marques Tuiasosopo,,0.0,OAK,29.0,7.3,14.5,2006.0
4710,28.0,23.0,0.0,6.0,1.0,7.0,TTurbRo00,Robert Turbin,,1.0,IND,53.0,2.3,8.8,2017.0
4731,25.0,11.0,0.0,3.0,0.0,11.0,VVanPBr00,Bradlee Van Pelt,,1.0,DEN,48.0,4.4,16.0,2005.0
4739,25.0,7.0,0.0,7.0,0.0,9.0,VVaugJo01,Josh Vaughan,,0.0,CAR,24.0,3.4,3.4,2011.0
4740,23.0,8.0,1.0,5.0,0.0,19.0,VVaugKe00,Ke'Shawn Vaughn ,,0.0,TAM,46.0,5.8,9.2,2020.0
4772,25.0,12.0,0.0,14.0,0.0,20.0,WWalkCo00,Corey Walker,,0.0,PHI,55.0,4.6,3.9,1998.0
4773,22.0,58.0,0.0,4.0,2.0,41.0,WWalkDa00,Darius Walker,,1.0,HOU,264.0,4.6,66.0,2007.0
4788,31.0,6.0,1.0,12.0,0.0,0.0,WWalsSt00,Steve Walsh,,0.0,TAM,-4.0,-0.7,-0.3,1997.0
4792,22.0,53.0,1.0,7.0,4.0,19.0,WWaltMa00,Mark Walton,,0.0,MIA,201.0,3.8,28.7,2019.0
4806,25.0,30.0,1.0,14.0,0.0,17.0,WWardTe00,Terron Ward,,0.0,ATL,129.0,4.3,9.2,2017.0
4809,27.0,11.0,0.0,16.0,1.0,17.0,WWareDa00,Danny Ware,,0.0,TAM,51.0,4.6,3.2,2012.0
4833,29.0,6.0,0.0,3.0,1.0,8.0,WWarrLa00,Lamont Warren,,0.0,DET,8.0,1.3,2.7,2002.0
4844,24.0,28.0,2.0,10.0,0.0,22.0,WWashDa00,Damon Washington,,0.0,NYG,89.0,3.2,8.9,2001.0
4845,27.0,3.0,0.0,1.0,0.0,3.0,WWashDe00,DeAndre Washington,,0.0,KAN,5.0,1.7,5.0,2020.0
4850,25.0,8.0,0.0,16.0,0.0,31.0,WWashDw00,Dwayne Washington,,0.0,NOR,60.0,7.5,3.8,2019.0
4862,25.0,5.0,0.0,16.0,1.0,8.0,WWashNa00,Nate Washington,,0.0,PIT,18.0,3.6,1.1,2008.0
4867,25.0,54.0,0.0,14.0,2.0,49.0,WWatsJu00,Justin Watson,,4.0,STL,249.0,4.6,17.8,2000.0
4874,23.0,9.0,0.0,1.0,0.0,8.0,WWatsTe00,Terrell Watson,,1.0,PHI,28.0,3.1,28.0,2016.0
4875,23.0,5.0,1.0,16.0,2.0,10.0,WWattDa00,Darius Watts,,0.0,DEN,33.0,6.6,2.1,2004.0
4885,23.0,7.0,0.0,14.0,0.0,9.0,WWattTr00,Trey Watts,,0.0,STL,30.0,4.3,2.1,2014.0
4894,31.0,8.0,0.0,16.0,0.0,22.0,WWebbJo00,Joe Webb,,0.0,BUF,54.0,6.8,3.4,2017.0
4901,24.0,8.0,3.0,16.0,0.0,31.0,WWeemEr00,Eric Weems,,0.0,ATL,53.0,6.6,3.3,2009.0
4905,30.0,5.0,1.0,2.0,0.0,0.0,WWeldCa00,Casey Weldon,,0.0,WAS,-4.0,-0.8,-2.0,1999.0
4951,29.0,6.0,0.0,16.0,2.0,16.0,WWhitAl00,Alvis Whitted,,0.0,OAK,37.0,6.2,2.3,2003.0
4955,28.0,7.0,0.0,12.0,0.0,8.0,WWhitFo00,Fozzy Whittaker ,,0.0,CAR,18.0,2.6,1.5,2017.0
4973,24.0,8.0,0.0,7.0,0.0,9.0,WWhitJo01,Johnny White,,0.0,2TM,34.0,4.3,4.9,2012.0
4979,29.0,62.0,0.0,12.0,2.0,11.0,WWhitLo00,Lorenzo White,,1.0,CLE,163.0,2.6,13.6,1995.0
4980,24.0,10.0,3.0,15.0,1.0,26.0,WWhitLu00,Lucky Whitehead,,0.0,DAL,82.0,8.2,5.5,2016.0
4982,23.0,21.0,1.0,13.0,0.0,33.0,WWhitPa01,Pat White,,0.0,MIA,81.0,3.9,6.2,2009.0
4983,25.0,20.0,1.0,10.0,0.0,15.0,WWhitRi00,Ricky Whittle,,0.0,NOR,52.0,2.6,5.2,1996.0
4984,23.0,24.0,0.0,6.0,0.0,21.0,WWhytKe00,Kerrith Whyte Jr,,0.0,PIT,122.0,5.1,20.3,2019.0
4985,25.0,6.0,0.0,3.0,0.0,5.0,WWildBr01,Brandon Wilds,,0.0,JAX,15.0,2.5,5.0,2018.0
4987,24.0,22.0,0.0,16.0,1.0,46.0,WWileMi00,Michael Wiley,,1.0,DAL,168.0,7.6,10.5,2002.0
4990,31.0,6.0,0.0,3.0,0.0,18.0,WWilhEr00,Erik Wilhelm,,0.0,CIN,24.0,4.0,8.0,1996.0
4991,26.0,29.0,0.0,6.0,0.0,22.0,WWilkJo01,Jordan Wilkins,,0.0,IND,94.0,3.2,15.7,2020.0
4994,27.0,6.0,2.0,13.0,0.0,18.0,WWilkTe00,Terrence Wilkins ,,0.0,STL,56.0,9.3,4.3,2002.0
5006,24.0,8.0,0.0,6.0,0.0,15.0,WWillDa011,David Williams,,0.0,JAX,36.0,4.5,6.0,2018.0
5013,25.0,17.0,0.0,7.0,0.0,13.0,WWillDa10,Darrel Williams,,1.0,KAN,61.0,3.6,8.7,2020.0
5027,22.0,5.0,0.0,4.0,0.0,5.0,WWillDe07,Dexter Williams,,0.0,GNB,11.0,2.2,2.8,2019.0
5032,23.0,6.0,0.0,4.0,0.0,5.0,WWillJa05,Javarris Williams,,0.0,KAN,6.0,1.0,1.5,2009.0
5037,23.0,12.0,0.0,11.0,1.0,15.0,WWillJa27,Jamal Willis,,0.0,SFO,35.0,2.9,3.2,1995.0
5039,25.0,49.0,0.0,9.0,1.0,48.0,WWillJo07,Jonathan Williams,,1.0,IND,235.0,4.8,26.1,2019.0
5041,22.0,93.0,2.0,11.0,3.0,41.0,WWillKa01,Karlos Williams ,,7.0,BUF,517.0,5.6,47.0,2015.0
5045,25.0,58.0,2.0,15.0,0.0,18.0,WWillKe03,Keiland Williams,,2.0,DET,195.0,3.4,13.0,2011.0
5047,26.0,120.0,0.0,16.0,6.0,25.0,WWillKe05,Kerwynn Williams,,1.0,ARI,426.0,3.6,26.6,2017.0
5076,25.0,48.0,2.0,13.0,4.0,19.0,WWillRi01,Ricky Williams,,2.0,IND,155.0,3.2,11.9,2003.0
5078,22.0,58.0,2.0,5.0,3.0,25.0,WWillRy00,Ryan Williams,,0.0,ARI,164.0,2.8,32.8,2012.0
5079,25.0,64.0,0.0,16.0,2.0,24.0,WWillSh00,Sherman Williams,,1.0,DAL,220.0,3.4,13.8,1998.0
5083,25.0,45.0,0.0,16.0,0.0,28.0,WWillSh01,Shaud Williams,,0.0,BUF,161.0,3.6,10.1,2005.0
5085,27.0,6.0,0.0,1.0,0.0,28.0,WWillWa02,Walter Williams,,0.0,GNB,42.0,7.0,42.0,2004.0
5086,27.0,5.0,0.0,13.0,4.0,28.0,WWilsAl02,Albert Wilson,,0.0,MIA,45.0,9.0,3.5,2019.0
5088,22.0,44.0,2.0,5.0,4.0,18.0,WWilsDa01,David Wilson,,1.0,NYG,146.0,3.3,29.2,2013.0
5102,23.0,6.0,0.0,5.0,0.0,9.0,WWilsSh01,Shaun Wilson,,0.0,TAM,29.0,4.8,5.8,2018.0
5103,39.0,7.0,1.0,5.0,3.0,12.0,WWilsWa00,Wade Wilson,,0.0,OAK,24.0,3.4,4.8,1998.0
5107,24.0,19.0,0.0,12.0,0.0,16.0,WWinnGe00,George Winn,,0.0,DET,73.0,3.8,6.1,2014.0
5117,25.0,22.0,0.0,8.0,0.0,36.0,WWolfGa00,Garrett Wolfe,,1.0,CHI,120.0,5.5,15.0,2009.0
5120,32.0,14.0,0.0,8.0,0.0,10.0,WWoodDa02,Danny Woodhead,,0.0,BAL,56.0,4.0,7.0,2017.0
5132,28.0,24.0,0.0,9.0,0.0,11.0,WWorkVi00,Vince Workman,,0.0,IND,70.0,2.9,7.8,1996.0
5138,24.0,29.0,1.0,15.0,0.0,15.0,WWrigDw01,Dwayne Wright,,0.0,BUF,94.0,3.2,6.3,2007.0
5140,28.0,6.0,1.0,15.0,1.0,10.0,WWrigJa01,Jason Wright,,0.0,ARI,28.0,4.7,1.9,2010.0
5145,28.0,10.0,2.0,7.0,4.0,26.0,WWuerDa00,Danny Wuerffel,,0.0,WAS,76.0,7.6,10.9,2002.0
5148,26.0,6.0,0.0,4.0,0.0,6.0,WWynnDe00,DeShawn Wynn,,0.0,GNB,19.0,3.2,4.8,2009.0
5151,23.0,8.0,3.0,3.0,2.0,14.0,WWynnSp00,Spergon Wynn,,0.0,MIN,61.0,7.6,20.3,2001.0
5160,25.0,13.0,0.0,3.0,0.0,6.0,YYounAl01,Albert Young,,0.0,MIN,29.0,2.2,9.7,2010.0
5187,27.0,55.0,0.0,8.0,1.0,29.0,ZZennZa00,Zach Zenner,,3.0,DET,265.0,4.8,33.1,2018.0
5198,31.0,5.0,1.0,6.0,2.0,4.0,ZZolaSc00,Scott Zolak,,0.0,NWE,0.0,0.0,0.0,1998.0
